id,email,name,description,phone,url,logo_url,hero_url,video_vimeo,video_youtube,location,address,city,state,zip,country,created_at,jobs_count
c15dd054-3149-45c3-a9da-83343be8dd73,demi@capstonerecruitment.com.au,Capstone Recruitment,"<p>Below are a selection of roles we are current recruiting for on behalf of our clients. We are also available to discuss your career at your convenience so please either <a href=""https://capstonerecruitment.com.au/register-with-us/"" target=""_blank"" rel=""noopener noreferrer nofollow"">register with us</a> and list your specific requirements or, <a href=""https://capstonerecruitment.com.au/contact-capstone/"" target=""_blank"" rel=""noopener noreferrer nofollow"">contact us</a> to make a time to chat.</p>",+61 2 9146 6660,https://www.capstonerecruitment.com.au/,https://www.councildirect.com.au/uploads/employer/logo/3145269/Capstone_Recruitment.jpeg,,,,"Sydney NSW 2000, Australia",56 Pitt Street,"",New South Wales,2000,Australia,2024-06-18 03:45:41 UTC,12
384b619a-0f54-4ddb-b921-1526f5460631,council@circularhead.tas.gov.au, Circular Head Council,"<figure><img src=""https://static.jobboard.io/uploads/wysiwyg/784a443c-7291-41b3-8244-ff002728aa68_banner.jpg"" class=""img-responsive""></figure><p>Circular Head Council is an equal opportunity employer that values and utilises the contributions of workers with diverse skills, backgrounds, and experience. Circular Head Council staff have the unique opportunity to participate in the changes that our region is experiencing. We are constantly looking for ways to improve and welcome employees with enthusiasm and a genuine desire to make a difference in their community.</p>
<p>Circular Head Council embraces an inclusive and diverse workforce, with great benefits and flexible work options. To ensure we attract and retain the best possible people to meet our future needs, we provide:</p>
<h3>Equal employment opportunity</h3>
<p>Circular Head Council aims to provide a workplace free from any form of discrimination, bullying, and harassment. We are committed to creating an environment in which all forms of harassment and bullying are not tolerated at any level.</p>
<h3>Learning and development</h3>
<p>Council is committed to ongoing staff development and training. Employees are encouraged and supported to attend training and undertake study in approved courses.</p>
<h3>Work/life balance, flexibility, and benefits</h3>
<p>Council appreciates the importance of a healthy work/life balance. Achieving balance in your life is vital to being a productive and happy employee.</p>
<p>Some of the flexible options available at Council include:</p>
<ul>
<li>Rostered Days Off</li>
<li>9-day fortnights</li>
<li>Flexible working hours, where applicable</li>
<li>Part-time and job share arrangements</li>
<li>Working from home</li>
<li>Banked Hours</li>
<li>3 Days paid leave at Christmas/New Year closure each year</li>
<li>Salary sacrifice superannuation</li>
</ul>
<ul><li>Employees can purchase additional leave (conditions apply).</li></ul>
<ul><li>Employee Assistance Program offering professional confidential counselling.</li></ul>
<h3>Salary and conditions of employment</h3>
<p>Salary and conditions of employment are in accordance with Council’s current Enterprise Agreement and relevant award for each position. Please refer to the Position Description for the role classification level.</p>
<h3>Superannuation</h3>
<p>Council has a generous superannuation scheme – 14.5% for permanent employees personally contributing 7.06%.</p>
<h3>Reward and recognition</h3>
<p>Council employees are recognised after 5 years of service and continued recognition at five year intervals.</p>
<h3>Uniforms</h3>
<p>Depending on your role Council employees have access to protective clothing, corporate uniform allowance (conditions apply).</p>
<h3>Health and wellbeing program</h3>
<p>Providing a safe work environment is of utmost importance and taken very seriously. Council supports a comprehensive range of health and wellbeing initiatives which is supported by our Workplace Health and Advisory Committee. Current support programs include:</p>
<ul>
<li>Health and Wellbeing Program and events</li>
<li>Zero Harm Safety Management System</li>
<li>Health initiatives including flu vaccinations and health checks</li>
<li>Mental Health Training</li>
</ul>
<p>Council is committed to a safe and healthy work environment. Comprehensive workplace health and safety policies and procedures are in place to ensure staff are not placed at risk while at work.</p>",03 6452 4800,https://www.circularhead.tas.gov.au,https://www.councildirect.com.au/uploads/employer/logo/3122965/Circular_Head_Council.png,,,,"Smithton TAS 7330, Australia",33 Goldie Street,"",Tasmania,7330,Australia,2024-06-04 06:23:39 UTC,2
4713895e-b4ce-4569-b7d8-873675b30309,recruitment@merri-bek.vic.gov.au, Merri-bek City Council,"<p>Merri-bek is a municipality in Melbourne’s inner north. Our Civic Centre is located 8 kilometres from Melbourne CBD. We have excellent public transport available and cycling access for our employees.</p>
<h2>Our commitment</h2>
<p>We deliver important services to a great community, through people who enjoy their work and are proud to work for Merri-bek.</p>
<h2>Values that drive us</h2>
<p>Our vision is to be one team, brave and diverse, making a difference.</p>
<ul>
<li>
<strong>Customers and community first: </strong>we acknowledge our main purpose is to work with our Community and customers.</li>
<li>
<strong>Respect: </strong>we support and value others.</li>
<li>
<strong>Personal accountability: </strong>we take pride in our work and are responsible for doing it well.</li>
<li>
<strong>Integrity: </strong>we will do what we say.</li>
<li>
<strong>One team: </strong>we will work within and across the organisation to achieve community outcomes.</li>
</ul>
<p>Download <a href=""https://merri-bek.vic.gov.au/globalassets/website-merri-bek/areas/my-council/merri-bek-organisational-values.doc"" rel=""noopener noreferrer nofollow"">Merri-bek Council's value statements and expectations (DOC 694Kb).</a></p>
<h2>Staff benefits</h2>
<p>At Merri-bek we know there is more to life than what you do at work, which is why we provide our employees with every opportunity to enjoy a work-life balance.</p>
<p></p>
<p><a href=""https://merri-bek.vic.gov.au/link/d891f56f1c924fbfa397804e0ade7dc9.aspx"" rel=""noopener noreferrer nofollow""></a></p>
<p></p>
<ul></ul>
<h2>Types of roles you can do at Council </h2>
<p>The types of jobs available include:</p>
<ul>
<li>outdoor land management and revitalisation works</li>
<li>cleaning services to public assets, including graffiti removal</li>
<li>food and meal delivery services to support vulnerable people</li>
<li>waste management and signage work</li>
<li>digital communications to support community engagement and outreach</li>
<li>culturally and linguistically diverse support roles</li>
<li>maintenance and improvement works</li>
<li>local business and community advisory and recovery services;</li>
<li>public health and well-being compliance officers</li>
<li>environmental, waterways and heritage sites community education and outreach works</li>
<li>supervisory and human resources expertise to manage onboarding and deliver programs at scale.</li>
</ul>
<p><br><br></p>",(03) 9240 1111,https://merri-bek.vic.gov.au,https://www.councildirect.com.au/uploads/employer/logo/3122766/Merri-bek.png,,,-kF05T5kOo4?si=gTGgQzrsuYZbYS4A,"Coburg VIC 3058, Australia","90 Bell Street, ","",Victoria,3058,Australia,2024-06-04 05:19:21 UTC,6
ade28075-7cc6-47f7-b73f-69e2e5988aa2,council@devonport.tas.gov.au,Devonport City Council,"<h2>Council provides a positive and supportive working environment for employees.</h2>
<p>We are an equal opportunity employer that values and utilises the contributions of workers with diverse skills, backgrounds and experiences.</p>
<p>Council’s values are an important part of our working life and the basis of our decision-making. They are:</p>
<ul>
<li>Continuous Improvement and Innovation</li>
<li>Leadership</li>
<li>Customer Satisfaction</li>
<li>Our People</li>
<li>Results and Accountability</li>
</ul>
<h2>Safe and supportive work environment</h2>
<p>Council takes workplace health and safety very seriously.  Council aims to achieve a zero harm outcome by:</p>
<ul>
<li>Embedding a culture that champions positive attitudes to health and safety outcomes.</li>
<li>Supporting and committing to delivering health and well-being programs.</li>
<li>Ensuring a system that delivers a consistent approach to documentation.</li>
<li>Establishing, improving and monitoring identified objectives, targets and measures relating to health and safety.</li>
<li>Removing or reducing the risks to the health, safety and welfare of all workers, contractors and visitors, and anyone else that maybe affected by our business operations.</li>
</ul>
<h4><br></h4>",(03) 6424 0511,https://www.devonport.tas.gov.au/council/get-involved/employment/employment-opportunities/,https://www.councildirect.com.au/uploads/employer/logo/3064111/Devonport.png,,,4_DKAWqWk_Y,"Devonport TAS, Australia",137 Rooke Street,Devonport,Tasmania,"",Australia,2024-05-06 03:44:34 UTC,4
bd67df1b-6c8f-4b15-9044-e9c51ae153ca,work@cook.qld.gov.au,Cook Shire Council ,"<p>Cook Shire is a great region to live and work in - make your move today!</p>
<p>Cook Shire Council is one of the largest employers in Cape York and offers a wide variety of employment opportunities, traineeships, apprenticeships and work experience.</p>
<p>We are an equal opportunity employer, promoting workplace diversity and a safety culture with a smoke free environment. Employment with Council offers stability and security, combined with the balanced, tropical lifestyle that comes with living in our region.</p>
<p>For those considering a sea change or relocating to Cook Shire for employment, you will find that we are a growing region and the perfect place to be now and into the future. We are the largest land area shire in Queensland, occupying 80 per cent of the Cape York Peninsula and feature a pristine coastline, culturally diverse community, friendly locals and huge potential for growth.</p>

<p><a href=""https://www.cook.qld.gov.au/council-desc/careers/job-vacancies"" target=""_self"" rel=""noopener noreferrer nofollow"">Job Vacancies</a></p>
<p><a href=""https://www.cook.qld.gov.au/council-desc/careers/work-experience"" target=""_self"" rel=""noopener noreferrer nofollow"">Work Experience</a></p>
<p><a href=""https://www.cook.qld.gov.au/council-desc/careers/volunteering"" target=""_self"" rel=""noopener noreferrer nofollow"">Volunteering </a></p>", (07) 4082 0500,https://www.cook.qld.gov.au/,https://www.councildirect.com.au/uploads/employer/logo/3020882/Cook_Shire.png,,,k6kR5rJZ7ds?si=PbrDg32vymKCkBYT,"Cooktown QLD 4895, Australia",10 Furneaux Street ,"",Queensland,4895,Australia,2024-04-24 02:58:57 UTC,22
893d4027-f540-4c33-b4d4-b8aebf97e412,info@joondalup.wa.gov.au, City of Joondalup ,"<figure><img src=""https://static.jobboard.io/uploads/wysiwyg/b646581e-d56d-4266-9a15-f63a493c3753_11035-HR-Themed-Branding_COJwebsite_1200x510_Smart-2048x871.jpg"" class=""img-responsive""></figure><p>The City of Joondalup is one of the largest local governments in Western Australia. It offers competitive salaries and excellent conditions as well as diversity in tasks, responsibilities, challenges, and opportunities for professional development and career advancement.</p>
<p>The City of Joondalup is committed to fairness, equity, diversity, and inclusion within all organisational practices and is an Equal Opportunity employer. We provide opportunities and support to build a diverse workforce and inclusive workplace that reflects the community we serve. The City encourages Aboriginal and Torres Strait Islander peoples, people of culturally and linguistically diverse backgrounds, people with a disability, people of all ages, sexualities and genders to apply for advertised positions.</p>
<p>To view current vacancies and / or sign up to receive regular updates on job vacancies, visit the <a href=""https://employment.joondalup.wa.gov.au/jobs/"" target=""_blank"" rel=""noopener noreferrer nofollow"">City’s career portal</a></p>", 9400 4000,https://www.joondalup.wa.gov.au/,https://www.councildirect.com.au/uploads/employer/logo/3004121/Joondalup.png,,,OKah3-wHals?si=OMmCj9s9YevEleLZ,"Joondalup WA 6027, Australia",90 Boas Avenue,"",Western Australia,6027,Australia,2024-04-19 03:41:28 UTC,30
af7fcc19-0d32-443d-b6a9-b1b3c85e6ee9,mail@somerset.qld.gov.au,Somerset Regional Council,"<p>Thank you for considering a career in local government with Team Somerset.</p>
<p>We offer many exciting and diverse jobs, whether you are starting a career or looking for further work experience.</p>
<p>To apply for a position with Council, download a copy of the Application Package for the position of interest and submit your most recent resume together with a cover letter outlining how your experience, qualifications, knowledge, and skills fit the requirements of the role.</p>
<p>Applications are to be submitted via email to <a href=""mailto:jobs@somerset.qld.gov.au"" rel=""noopener noreferrer nofollow"">jobs@somerset.qld.gov.au</a> in PDF or Microsoft Word format.  You will receive an automated email acknowledging receipt of your application.  If you are to progress to interview stage, Council will be in contact with you.</p>
<p>Should you require any further information or clarification regarding the position or the recruitment and selection process, please contact our Human Resources section on (07) 5424 4000.</p>",(07) 5424 4000,https://www.somerset.qld.gov.au/,https://www.councildirect.com.au/uploads/employer/logo/2910038/Somerset_.jpeg,https://www.councildirect.com.au/uploads/employer/hero/2910038/QLD_Somerset_2110076768-resized-1024x576.jpg,,,"Esk QLD 4312, Australia",2 Redbank Street ,"",Queensland,4312,Australia,2024-03-21 03:52:15 UTC,22
802ec08a-2ad4-4e24-be62-7b6907f510ac,shire@dundas.wa.gov.au,Shire of Dundas,"<p>Mining Heritage </p>
<p>The Norseman that stands today was born from its mining history and the pioneers that brought it to our township. Norseman sits as a gateway community at the end of the Eyre Highway, the first major town after crossing the border between Western and South Australia. Situated within the Goldfields region, Norseman is surrounded by other towns in the “Golden Outback” such as Coolgardie and Kalgoorlie-Boulder as well as the contrasting coastal town of Esperance.</p>
<p>The history of Norseman stems from the exploration of the South Coast by Edward John Eyre during the 1840’s, and the initial surveying of Western Australia by JS Roe who named the “Dundas Hills” in 1848. Flash forward to the late 1870’s where the Southern Area of Australia was at last connected to the rest of its country upon the completion of the Overland Telegraph Line between Albany and Adelaide.</p>
<figure><img src=""https://www.dundas.wa.gov.au/Profiles/dundas/Assets/ClientData/Images/Gallery/Historical_Photos_004.jpg"" width=""254"" height=""199""></figure>
<figure><img src=""https://www.dundas.wa.gov.au/Profiles/dundas/Assets/ClientData/Images/Gallery/Historical_Photos_002.jpg"" width=""251"" height=""194""></figure>
<p><strong>The Golden Age</strong></p>
<p>Gold was Dundas’ and furthermore Norseman’s claim to fame, the commodity putting the once non-existent town on the map. Prospectors began searching around pastures of the Dundas Hills area during the 1890’s. In this year, Mr. Moir of “Fanny’s Creek” found traces of alluvial gold. He ceased exploration until two years later when returning with a prospecting team, no gold was found. During this same time, other prospectors had begun to explore the area. In 1882, Messrs Mawson and Kirkpatrick discovered gold in the southern end of the field, naming it “May Bell”. Soon after this a rich outcrop of ore was discovered by Messrs Bromely, Mawson and Desjarlis. The following year, in August 1893 the “Dundas Field” was proclaimed, a catalyst for the establishment of the Dundas townsite after another two rich outcrops were discovered and registered under the name “Scotia”.</p>
<p>Laurie Sinclair immigrated to Australia with his family in 1863 from the Shetland Island. He worked closely with the Dempster brothers (whom were the original pioneers of Esperance). After an unsuccessful visit to the Coolgardie goldfield in 1893 Sinclair was returning to Esperance via Dundas. Here he located George and Jack Allsop whom were prospecting out from Dundas. Investigating a few specks of alluvial gold in a small gully, Sinclair joined the men on their prospecting endeavor. It was here that Laurie Sinclair discovered a rich gold reef which would be known to be “Norseman”.</p>
<p>Popular legend has it that after tethering his horse ‘Hardy Norseman’ up for the night Sinclair was surprised to discover that his horse had exposed a reef upon his return. Nonetheless the reef was registered by the men on the 13<sup>th</sup> of August 1894, the same day as a separate gold reef “Mount Barker” was registered by Messrs Ramsay, Talbot and Goodliffe.</p>
<p><strong>Early Day Norseman</strong></p>
<p>Norseman struggled to establish itself during its first few years as Dundas was the major township in the area, both areas approximately 4 miles apart. However due the Norseman fields being richer than those in Dundas it gradually outgrew the latter, and in 1895 was declared a town, followed by its declaration as a Municipality the following year.</p>
<figure><img src=""https://www.dundas.wa.gov.au/Profiles/dundas/Assets/ClientData/Images/Gallery/Norseman_GM%28568%29_scaled.jpg"" width=""259"" height=""192""></figure>
<figure><img src=""https://www.dundas.wa.gov.au/Profiles/dundas/Assets/ClientData/Images/Gallery/Shopping-precinct%28737%29_scaled.jpg"" width=""254"" height=""195""></figure>
<p>The year 1895 saw the first Post Office, Bank and Doctor arrive in town. The Doctor operating in a tent for a hospital. The first Newspaper was also printed in October of this year and followed in January by “The Norseman Pioneer”.  The two joined together in 1899 and came out as “The Norseman Times” which circulated bi-weekly. By 1899 there were three churches, sporting facilities, five hotels and a carriage mail service known by “Cobb and Co Coaches”.</p>
<p>Water was supplied to the town by condensing lake water derived from the surrounding salt lakes. Water was also drawn from surrounding rocks situated north, west and east of the town until 1899 when a reservoir was constructed.</p>
<p>In 1901 a brewery and two general stores were built followed by another brewery in the next year. 1902 saw further infrastructure improve the town such as a dam, two new town halls and ten miles worth of watermains to carry water to parts of the town.</p>
<p>This increase in services within the town came from the booming of the Mines that sat within Norseman. The hand hauling method of extracting ore from the ground was replaced by a steam hauling plant. Between 1901 and 1903 gold was discovered five miles north of town, establishing a new town known as “Princess Royal” causing the Norseman population to slightly decline. This town however was abandoned during the 1920’s.</p>
<p>Norseman was linked to Coolgardie by railway in 1909, however the track did not continue to Esperance. Coaches were used to travel the 200 kilometre distance between Norsman and Esperance. The railway was completed in its entirety in 1929.</p>
<p>A theatre and telephone line were introduced in the 1910 period in addition to golf links and a racecourse being constructed. However, around this time the production of gold was decreasing rapidly due to the war and overworking of the reefs that had brought Norseman their prosperity resulting in the closure of majority of the major mines, causing the population to drop dramatically to 300 by 1920.</p>
<p>A group of local prospectors was formed to find a new gold reef, and in 1926 the ""butterfly"" was discovered, and the Butterfly Mining Company formed. In 1935 Western Mining came to Norseman which began a new era for the town. Money was put into improving the town and by 1936 the pipeline from Coolgardie was continued to Norseman. The company also gave the town electricity and with the backing of the company the Roads Board began work on footpaths and roads.</p>
<p><strong>Today</strong></p>
<p>The Norseman you look around and see today while different still holds the same spirit of the founders that made it what it is. The town today has one IGA, two petrol stations and multiple accommodation options. The Shire of Dundas’ population sits at 581 people as of 2016.</p>
<h1>          </h1>
<p><br><br></p>",(08) 9039 1205,https://www.dundas.wa.gov.au/,https://www.councildirect.com.au/uploads/employer/logo/2878964/Dundas.png,,,79P80HmSCME?si=5BRzxGb2JI5qpI-g,"Norseman WA 6443, Australia",,"",Western Australia,6443,Australia,2024-03-12 10:24:15 UTC,7
d601a28a-5370-40ac-8372-a011aec7af39,hr@boulia.qld.gov.au,Boulia Shire Council,<p>Boulia Shire Council is an equal employment opportunities employer. Choosing to work with Boulia Shire Council offers employees the opportunity to have the perfect work and life balance and live the dream lifestyle in our beautiful region.</p>,(07) 4746 3188,https://www.boulia.qld.gov.au/,https://www.councildirect.com.au/uploads/employer/logo/2851862/Boulia.png,,,Uv844bp7pXE,"Boulia QLD 4829, Australia",18 Herbert Street ,"",Queensland,4829,Australia,2024-03-04 03:37:09 UTC,14
4120c2d8-b90a-4637-bf21-9e7acabe171f,hr@sjshire.wa.gov.au,Shire of Serpentine Jarrahdale,"<p>Located just 45 minutes from the Perth CBD on the picturesque backdrop of the Darling Scarp, The Shire of Serpentine Jarrahdale is one of the fastest growing local governments in Australia. With a population growth forecasted to double in the next 10 years and with a focus on balancing the natural beauty of Serpentine Jarrahdale with sustainable growth, The Shire offers unique opportunities and exciting challenges. We are focussed on growing in a sustainable, attractive and prosperous way, which reflects the values of our community and unique landscape.</p>
<p>We’re always looking for dynamic and engaged people to join our team. Bring your passion, your ingenuity and your vision. Let’s see the impact we can create, together.​ </p>
<h2>Benefits of Working at the Shire</h2>
<p>The Shire is committed to providing competitive employment packages. Below is a summary of the range of conditions and benefits available to employees in addition to salary.</p>
<p><strong>Parking and location</strong></p>
<ul><li>Free onsite parking</li></ul>
<p><strong>Health and wellbeing</strong></p>
<ul>
<li>Free local gym membership</li>
<li>Fitness Passport </li>
<li>Free wellness programs, counselling and health assessments (ability to participate in wellbeing programs the Shire of Serpentine Jarrahdale provides for staff)</li>
<li>HBF, Medibank and BUPA corporate discount</li>
<li>Annual flu vaccinations</li>
<li>Annual skin cancer screening</li>
</ul>
<p><strong>Workplace and conditions</strong></p>
<ul>
<li>Induction program</li>
<li>Flexible work options</li>
<li>Two additional Local Government days off per year</li>
<li>Free Shire polo shirt on commencement</li>
<li>Purchased leave options available</li>
<li>Employee recognition programs</li>
</ul>
<p><strong>Salary and superannuation</strong></p>
<ul>
<li>Salary packaging </li>
<li>Matched superannuation co contribution of up to 3%</li>
<li>Novated leasing options</li>
</ul>
<p><strong>Professional growth and education</strong></p>
<ul>
<li>Professional development opportunities</li>
<li>Study assistance</li>
</ul><p><br><br></p>",(08) 9526 1111,https://www.sjshire.wa.gov.au/,https://www.councildirect.com.au/uploads/employer/logo/2835672/Serpentine_Jarrahdale.jpg,,,JhPeUHtW7m0?si=YY1Rh37mVgLgb-FX,"Mundijong WA 6123, Australia",6 Paterson Street ,"",Western Australia,6123,Australia,2024-02-28 03:03:38 UTC,5
